Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.21,12.1551724137931,44.43,25.16,30.41,65.8811698666276,244.4,145.418,4.545840000000001,59.5,1.86,5.502889532276811,4.986465544789051,1.7130480971560795
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.82,1.896551724137931,29.55,39.59,30.86,58.62642022072698,17.45,6.203475,0.49906999999999996,35.550000000000004,2.86,2.915064370486536,1.9745635484782118,0.40484491582868476
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.24,1.327586206896552,29.58,25.25,45.17,69.25744821724261,36.9,17.45739,11.051549999999999,47.31,29.95,3.634951112088381,2.9154648322964207,2.4891932823698384
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.47,4.379310344827586,1.43,69.25,29.32,60.75612813077899,0.65,0.07501,0.033409999999999995,11.54,5.14,0.5007752879124893,0.07232996386194114,0.03286401361917278
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.33,9.293103448275863,4.19,60.29,35.52,46.72949909119077,1.15,0.23989,0.06877,20.86,5.98,0.7654678421395714,0.21502266600459,0.06650845454403088
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.39,7.396551724137931,2.56,52.91,44.53,37.65724999503882,1.3,0.9535499999999999,0.30082000000000003,73.35,23.14,0.832909122935104,0.6696482302711831,0.2629948348469642
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,6.52,2.741379310344828,2.09,34.86,63.05,33.40446769466573,1.37,0.557453,0.37647600000000003,40.68999999999999,27.48,0.8628899551470398,0.4430517946591414,0.3195266099236425
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.27,2.362068965517242,4.54,44.06,51.41,33.27873621132907,3.15,1.718325,1.0083149999999999,54.55000000000001,32.00999999999999,1.423108334242607,1.0000158817962446,0.6972960620362373
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.39,1.517241379310345,5.54,59.09,35.37,51.17939574956137,3.6,2.1348,0.14112,59.3,3.92,1.5260563034950492,1.1425653761965724,0.13201023625258385
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.52,1.775862068965517,4.78,56.59,38.63,36.32610668246986,3.1,1.35718,0.60853,43.78,19.63,1.410986973710262,0.8574659893028299,0.4753207184400212
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.98,8.551724137931036,0.02,10.82,89.16,65.42906613206688,3.55,1.752635,0.36707,49.370000000000005,10.34,1.5151272329628591,1.0125586347334923,0.3126697634534551
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.82,1.758620689655173,8.3,63.73,27.97,52.24091818673681,0.75,0.215475,0.113025,28.73,15.07,0.5596157879354227,0.19513494689489713,0.10708153385605963
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,7.78,4.206896551724138,8.91,60.44,30.65,79.6596670489967,311.0,235.738,2.5813,75.8,0.83,5.7430031878094825,5.466954044403554,1.2757258629890351
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,6.26,1.844827586206897,14.68,63.02,22.3,52.81242699248504,3.05,1.04615,1.366705,34.3,44.81,1.3987168811184478,0.7159599786251019,0.8614986924310857
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.15,3.396551724137931,9.17,60.43,30.39,82.51894829541374,76.2,33.21558,7.09422,43.59,9.31,4.3463994570307305,3.532681095890186,2.0911502267119126
4.0,"Bioaccessibility of arsenic, lead, and cadmium in contaminated mining/smelting soils: Assessment, modeling, and application for soil environment criteria derivation",Mining/smelting soils,PBET,8.93,1.689655172413793,8.03,78.26,13.71,56.21835723910857,3.66,1.406904,0.197274,38.44,5.39,1.5390154481375546,0.8783412743329385,0.18004730597827387
