Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP,Predicted_BA_GP,Observed_Bioaccessible_Cd_GP,Predicted_Bioaccessible_Cd_GP,Predicted_Risk_Group
16.0,土壤中金属的生物可给性及其动态变化的研究,Agricultural soils,PBET,5.76,8.8,31.33,40.85,27.82,35.48,4.8,1.512,1.5119999999999998,31.5,31.499999999999996,1.7578579175523736,0.9210792486059522,0.921079248605952,30.31660301473899,1.5119999999999998,1.4551969447074713,Medium
16.0,土壤中金属的生物可给性及其动态变化的研究,Agricultural soils,PBET,6.77,22.9,1.66,61.22,37.12,35.65,7.7,1.8942,2.0405,24.6,26.5,2.163323025660538,1.0627087343217554,1.1120219755780274,43.735865026048046,1.8942,3.3676616070056995,Medium
16.0,土壤中金属的生物可给性及其动态变化的研究,Agricultural soils,PBET,7.26,40.0,20.92,38.68,40.4,25.93,4.9,1.6905,1.4896,34.5,30.4,1.7749523509116738,0.9897270499473372,0.9121220550019354,72.91583687620621,1.6905000000000001,3.572876006934105,Medium
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,8.34,30.63,7.27,58.883715292589,31.37124185684636,160.0,36.1,16.96339,9.65314,46.99,26.74,3.6136169696133895,2.888335797846453,2.365854684380688,59.32402400020376,16.96339,21.415972664073557,High
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,8.11,26.48,3.78,58.12261241200845,33.24781748872858,268.0,9.16,2.609684,1.0277520000000002,28.49,11.220000000000002,2.318458442150336,1.283620233887372,0.7069277902827118,60.970583505622194,2.6096839999999997,5.584905449114993,Medium
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,8.17,29.24,4.13,57.8987800349033,33.5461727683259,39.9,0.4,0.13164,0.04868,32.910000000000004,12.17,0.3364722366212129,0.1236679080001116,0.0475322304453161,48.996079105900996,0.13164,0.195984316423604,Low
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,7.81,30.06,6.33,58.21895890145727,32.0439973450041,26.3,0.54,0.237384,0.079596,43.96,14.74,0.4317824164255378,0.2129994736933487,0.0765868970788946,64.43178853505802,0.237384,0.34793165808931337,Low
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,7.05,30.06,10.98,58.00739073058645,31.36631595030182,34.2,67.3,50.40097,18.52096,74.89,27.52,4.223909766576744,3.939657043878384,2.9714887601035027,65.88021295469575,50.40097,44.337383318510234,High
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,7.96,30.18,7.22,57.85053374356091,31.81785522753944,40.8,177.0,144.786,61.3305,81.80000000000001,34.650000000000006,5.181783550292085,4.982139793016281,4.132450872607933,60.70703568966223,144.78600000000003,107.45145317070214,High
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,7.03,29.86,9.16,57.90110936376684,31.64451280935286,31.0,342.0,257.6286,148.08599999999998,75.33,43.3,5.83773044716594,5.555393055736832,5.004523320648505,72.14435120173658,257.6286,246.73368110993908,High
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,6.83,28.75,2.61,56.73506730973639,33.8012646006804,41.7,202.0,160.085,67.1044,79.25000000000001,33.22,5.313205979041787,5.08193217597829,4.221041821934648,69.05705304645656,160.08500000000004,139.49524715384226,High
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,4.72,22.58,15.05,56.01702590235755,30.95196373071758,40.6,4.45,3.25117,0.49484,73.06,11.12,1.6956156086751528,1.4471942391675,0.4020191777038646,48.07479903393307,3.25117,2.1393285570100216,Medium
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,4.9,10.89,13.65,56.94409869519186,31.24209653355505,28.4,0.57,0.4578809999999999,0.0981539999999999,80.32999999999998,17.22,0.4510756193602166,0.3769840115997899,0.0936305882616321,42.87727030269083,0.45788099999999987,0.24440044072533773,Low
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,3.01,9.24,5.81,57.73179447043035,32.69908693841155,32.3,129.0,15.7896,2.5929,12.24,2.01,4.867534450455582,2.8207596471010743,1.2789596758487152,73.38245129684536,15.7896,94.66336217293052,High
17.0,污染场地土壤中Cd人体可给性影响因素及对筛选值的影响,Industrial soils,UBM,4.59,18.97,4.22,57.78976132159151,33.4514248853799,80.3,126.0,17.5896,3.7548,13.96,2.9800000000000004,4.844187086458591,2.922602284557266,1.5591546341243323,62.18414976499402,17.5896,78.35202870389247,High
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,7.34,17.7,9.8,58.73149693900064,30.702014274931,45.78783235284232,0.29,0.0563469999999999,0.0283329999999999,19.43,9.769999999999998,0.2546422183735807,0.0548167297922601,0.0279390445400803,30.12166425199368,0.056346999999999994,0.08735282633078166,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,4.38,19.4,23.7,47.08560195516159,33.52952359674305,37.89850192501832,0.17,0.078336,0.042007,46.08,24.71,0.1570037488096647,0.075419112233783,0.0411486611588984,40.55075850971922,0.078336,0.06893628946652268,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,6.36,15.9,10.7,58.40248794826542,31.01099989265587,45.52261804551053,0.23,0.048001,0.0339939999999999,20.87,14.78,0.2070141693843261,0.0468845400968684,0.0334289733614712,33.54401397138144,0.048001,0.07715123213417732,Low
